Index,Series Name,Period,Frequency,Value,Units
127,"Henry Hub Natural Gas Spot Price, Daily",20200505,D,1.93,Dollars per Million Btu
128,"Henry Hub Natural Gas Spot Price, Daily",20200504,D,1.78,Dollars per Million Btu
129,"Henry Hub Natural Gas Spot Price, Daily",20200501,D,1.69,Dollars per Million Btu
130,"Henry Hub Natural Gas Spot Price, Daily",20200430,D,1.63,Dollars per Million Btu
131,"Henry Hub Natural Gas Spot Price, Daily",20200429,D,1.73,Dollars per Million Btu
132,"Henry Hub Natural Gas Spot Price, Daily",20200428,D,1.8,Dollars per Million Btu
133,"Henry Hub Natural Gas Spot Price, Daily",20200427,D,1.68,Dollars per Million Btu
134,"Henry Hub Natural Gas Spot Price, Daily",20200424,D,1.81,Dollars per Million Btu
135,"Henry Hub Natural Gas Spot Price, Daily",20200423,D,1.86,Dollars per Million Btu
136,"Henry Hub Natural Gas Spot Price, Daily",20200422,D,1.9,Dollars per Million Btu
137,"Henry Hub Natural Gas Spot Price, Daily",20200421,D,1.92,Dollars per Million Btu
138,"Henry Hub Natural Gas Spot Price, Daily",20200420,D,1.78,Dollars per Million Btu
139,"Henry Hub Natural Gas Spot Price, Daily",20200417,D,1.71,Dollars per Million Btu
140,"Henry Hub Natural Gas Spot Price, Daily",20200416,D,1.59,Dollars per Million Btu
141,"Henry Hub Natural Gas Spot Price, Daily",20200415,D,1.68,Dollars per Million Btu
142,"Henry Hub Natural Gas Spot Price, Daily",20200414,D,1.76,Dollars per Million Btu
143,"Henry Hub Natural Gas Spot Price, Daily",20200413,D,1.86,Dollars per Million Btu
144,"Henry Hub Natural Gas Spot Price, Daily",20200410,D,1.74,Dollars per Million Btu
145,"Henry Hub Natural Gas Spot Price, Daily",20200409,D,1.74,Dollars per Million Btu
146,"Henry Hub Natural Gas Spot Price, Daily",20200408,D,1.86,Dollars per Million Btu
147,"Henry Hub Natural Gas Spot Price, Daily",20200407,D,1.83,Dollars per Million Btu
148,"Henry Hub Natural Gas Spot Price, Daily",20200406,D,1.64,Dollars per Million Btu
149,"Henry Hub Natural Gas Spot Price, Daily",20200403,D,1.5,Dollars per Million Btu
150,"Henry Hub Natural Gas Spot Price, Daily",20200402,D,1.55,Dollars per Million Btu
151,"Henry Hub Natural Gas Spot Price, Daily",20200401,D,1.69,Dollars per Million Btu
152,"Henry Hub Natural Gas Spot Price, Daily",20200331,D,1.71,Dollars per Million Btu
153,"Henry Hub Natural Gas Spot Price, Daily",20200330,D,1.65,Dollars per Million Btu
154,"Henry Hub Natural Gas Spot Price, Daily",20200329,D,1.7,Dollars per Million Btu
155,"Henry Hub Natural Gas Spot Price, Daily",20200327,D,1.7,Dollars per Million Btu
156,"Henry Hub Natural Gas Spot Price, Daily",20200326,D,1.73,Dollars per Million Btu
157,"Henry Hub Natural Gas Spot Price, Daily",20200325,D,1.8,Dollars per Million Btu
158,"Henry Hub Natural Gas Spot Price, Daily",20200323,D,1.7,Dollars per Million Btu
159,"Henry Hub Natural Gas Spot Price, Daily",20200322,D,1.76,Dollars per Million Btu
160,"Henry Hub Natural Gas Spot Price, Daily",20200320,D,1.76,Dollars per Million Btu
161,"Henry Hub Natural Gas Spot Price, Daily",20200319,D,1.68,Dollars per Million Btu
