Index,Series Name,Period,Frequency,Value,Units
159,"Cushing, OK Crude Oil Future Contract 1, Daily",20200323,D,23.36,Dollars per Barrel
160,"Cushing, OK Crude Oil Future Contract 1, Daily",20200320,D,22.43,Dollars per Barrel
161,"Cushing, OK Crude Oil Future Contract 1, Daily",20200319,D,25.22,Dollars per Barrel
162,"Cushing, OK Crude Oil Future Contract 1, Daily",20200318,D,20.37,Dollars per Barrel
163,"Cushing, OK Crude Oil Future Contract 1, Daily",20200317,D,26.95,Dollars per Barrel
164,"Cushing, OK Crude Oil Future Contract 1, Daily",20200316,D,28.7,Dollars per Barrel
165,"Cushing, OK Crude Oil Future Contract 1, Daily",20200313,D,31.73,Dollars per Barrel
166,"Cushing, OK Crude Oil Future Contract 1, Daily",20200312,D,31.5,Dollars per Barrel
167,"Cushing, OK Crude Oil Future Contract 1, Daily",20200311,D,32.98,Dollars per Barrel
168,"Cushing, OK Crude Oil Future Contract 1, Daily",20200310,D,34.36,Dollars per Barrel
169,"Cushing, OK Crude Oil Future Contract 1, Daily",20200309,D,31.13,Dollars per Barrel
170,"Cushing, OK Crude Oil Future Contract 1, Daily",20200306,D,41.28,Dollars per Barrel
171,"Cushing, OK Crude Oil Future Contract 1, Daily",20200305,D,45.9,Dollars per Barrel
172,"Cushing, OK Crude Oil Future Contract 1, Daily",20200304,D,46.78,Dollars per Barrel
173,"Cushing, OK Crude Oil Future Contract 1, Daily",20200303,D,47.18,Dollars per Barrel
174,"Cushing, OK Crude Oil Future Contract 1, Daily",20200302,D,46.75,Dollars per Barrel
175,"Cushing, OK Crude Oil Future Contract 1, Daily",20200228,D,44.76,Dollars per Barrel
176,"Cushing, OK Crude Oil Future Contract 1, Daily",20200227,D,47.09,Dollars per Barrel
177,"Cushing, OK Crude Oil Future Contract 1, Daily",20200226,D,48.73,Dollars per Barrel
178,"Cushing, OK Crude Oil Future Contract 1, Daily",20200225,D,49.9,Dollars per Barrel
179,"Cushing, OK Crude Oil Future Contract 1, Daily",20200224,D,51.43,Dollars per Barrel
180,"Cushing, OK Crude Oil Future Contract 1, Daily",20200221,D,53.38,Dollars per Barrel
181,"Cushing, OK Crude Oil Future Contract 1, Daily",20200220,D,53.78,Dollars per Barrel
182,"Cushing, OK Crude Oil Future Contract 1, Daily",20200219,D,53.29,Dollars per Barrel
183,"Cushing, OK Crude Oil Future Contract 1, Daily",20200218,D,52.05,Dollars per Barrel
184,"Cushing, OK Crude Oil Future Contract 1, Daily",20200217,D,52.05,Dollars per Barrel
185,"Cushing, OK Crude Oil Future Contract 1, Daily",20200214,D,52.05,Dollars per Barrel
186,"Cushing, OK Crude Oil Future Contract 1, Daily",20200213,D,51.42,Dollars per Barrel
187,"Cushing, OK Crude Oil Future Contract 1, Daily",20200212,D,51.17,Dollars per Barrel
188,"Cushing, OK Crude Oil Future Contract 1, Daily",20200211,D,49.94,Dollars per Barrel
189,"Cushing, OK Crude Oil Future Contract 1, Daily",20200210,D,49.57,Dollars per Barrel
190,"Cushing, OK Crude Oil Future Contract 1, Daily",20200207,D,50.32,Dollars per Barrel
191,"Cushing, OK Crude Oil Future Contract 1, Daily",20200206,D,50.95,Dollars per Barrel
192,"Cushing, OK Crude Oil Future Contract 1, Daily",20200205,D,50.75,Dollars per Barrel
193,"Cushing, OK Crude Oil Future Contract 1, Daily",20200204,D,49.61,Dollars per Barrel
194,"Cushing, OK Crude Oil Future Contract 1, Daily",20200203,D,50.11,Dollars per Barrel
195,"Cushing, OK Crude Oil Future Contract 1, Daily",20200131,D,51.56,Dollars per Barrel
196,"Cushing, OK Crude Oil Future Contract 1, Daily",20200130,D,52.14,Dollars per Barrel
197,"Cushing, OK Crude Oil Future Contract 1, Daily",20200129,D,53.33,Dollars per Barrel
198,"Cushing, OK Crude Oil Future Contract 1, Daily",20200128,D,53.48,Dollars per Barrel
199,"Cushing, OK Crude Oil Future Contract 1, Daily",20200127,D,53.14,Dollars per Barrel
200,"Cushing, OK Crude Oil Future Contract 1, Daily",20200124,D,54.19,Dollars per Barrel
201,"Cushing, OK Crude Oil Future Contract 1, Daily",20200123,D,55.59,Dollars per Barrel
202,"Cushing, OK Crude Oil Future Contract 1, Daily",20200122,D,56.74,Dollars per Barrel
203,"Cushing, OK Crude Oil Future Contract 1, Daily",20200121,D,58.34,Dollars per Barrel
204,"Cushing, OK Crude Oil Future Contract 1, Daily",20200120,D,58.54,Dollars per Barrel
205,"Cushing, OK Crude Oil Future Contract 1, Daily",20200117,D,58.54,Dollars per Barrel
206,"Cushing, OK Crude Oil Future Contract 1, Daily",20200116,D,58.52,Dollars per Barrel
207,"Cushing, OK Crude Oil Future Contract 1, Daily",20200115,D,57.81,Dollars per Barrel
208,"Cushing, OK Crude Oil Future Contract 1, Daily",20200114,D,58.23,Dollars per Barrel
209,"Cushing, OK Crude Oil Future Contract 1, Daily",20200113,D,58.08,Dollars per Barrel
210,"Cushing, OK Crude Oil Future Contract 1, Daily",20200110,D,59.04,Dollars per Barrel
211,"Cushing, OK Crude Oil Future Contract 1, Daily",20200109,D,59.56,Dollars per Barrel
212,"Cushing, OK Crude Oil Future Contract 1, Daily",20200108,D,59.61,Dollars per Barrel
213,"Cushing, OK Crude Oil Future Contract 1, Daily",20200107,D,62.7,Dollars per Barrel
