Index,Series Name,Period,Frequency,Value,Units
236,"Cushing, OK WTI Spot Price FOB, Daily",20191203,D,56.15,Dollars per Barrel
237,"Cushing, OK WTI Spot Price FOB, Daily",20191202,D,55.97,Dollars per Barrel
238,"Cushing, OK WTI Spot Price FOB, Daily",20191129,D,58.12,Dollars per Barrel
239,"Cushing, OK WTI Spot Price FOB, Daily",20191127,D,58.12,Dollars per Barrel
240,"Cushing, OK WTI Spot Price FOB, Daily",20191126,D,58.25,Dollars per Barrel
241,"Cushing, OK WTI Spot Price FOB, Daily",20191125,D,57.79,Dollars per Barrel
242,"Cushing, OK WTI Spot Price FOB, Daily",20191122,D,57.68,Dollars per Barrel
243,"Cushing, OK WTI Spot Price FOB, Daily",20191121,D,58.36,Dollars per Barrel
244,"Cushing, OK WTI Spot Price FOB, Daily",20191120,D,56.71,Dollars per Barrel
245,"Cushing, OK WTI Spot Price FOB, Daily",20191119,D,54.93,Dollars per Barrel
246,"Cushing, OK WTI Spot Price FOB, Daily",20191118,D,56.82,Dollars per Barrel
247,"Cushing, OK WTI Spot Price FOB, Daily",20191115,D,57.54,Dollars per Barrel
248,"Cushing, OK WTI Spot Price FOB, Daily",20191114,D,56.57,Dollars per Barrel
249,"Cushing, OK WTI Spot Price FOB, Daily",20191113,D,56.88,Dollars per Barrel
250,"Cushing, OK WTI Spot Price FOB, Daily",20191112,D,56.67,Dollars per Barrel
251,"Cushing, OK WTI Spot Price FOB, Daily",20191111,D,56.61,Dollars per Barrel
252,"Cushing, OK WTI Spot Price FOB, Daily",20191108,D,57.02,Dollars per Barrel
253,"Cushing, OK WTI Spot Price FOB, Daily",20191107,D,56.91,Dollars per Barrel
254,"Cushing, OK WTI Spot Price FOB, Daily",20191106,D,56.15,Dollars per Barrel
255,"Cushing, OK WTI Spot Price FOB, Daily",20191105,D,57.04,Dollars per Barrel
256,"Cushing, OK WTI Spot Price FOB, Daily",20191104,D,56.33,Dollars per Barrel
257,"Cushing, OK WTI Spot Price FOB, Daily",20191101,D,56.04,Dollars per Barrel
258,"Cushing, OK WTI Spot Price FOB, Daily",20191031,D,54.02,Dollars per Barrel
