,Series Name,Period,Frequency,Value,Units
199,"Cushing, OK WTI Spot Price FOB, Daily",20200115,D,57.86,Dollars per Barrel
200,"Cushing, OK WTI Spot Price FOB, Daily",20200114,D,58.34,Dollars per Barrel
201,"Cushing, OK WTI Spot Price FOB, Daily",20200113,D,58.17,Dollars per Barrel
202,"Cushing, OK WTI Spot Price FOB, Daily",20200110,D,59.02,Dollars per Barrel
203,"Cushing, OK WTI Spot Price FOB, Daily",20200109,D,59.56,Dollars per Barrel
204,"Cushing, OK WTI Spot Price FOB, Daily",20200108,D,59.65,Dollars per Barrel
205,"Cushing, OK WTI Spot Price FOB, Daily",20200107,D,62.7,Dollars per Barrel
206,"Cushing, OK WTI Spot Price FOB, Daily",20200106,D,63.27,Dollars per Barrel
207,"Cushing, OK WTI Spot Price FOB, Daily",20200103,D,63.0,Dollars per Barrel
208,"Cushing, OK WTI Spot Price FOB, Daily",20200102,D,61.17,Dollars per Barrel
209,"Cushing, OK WTI Spot Price FOB, Daily",20200101,D,61.14,Dollars per Barrel
210,"Cushing, OK WTI Spot Price FOB, Daily",20191231,D,61.14,Dollars per Barrel
211,"Cushing, OK WTI Spot Price FOB, Daily",20191230,D,61.66,Dollars per Barrel
212,"Cushing, OK WTI Spot Price FOB, Daily",20191227,D,61.76,Dollars per Barrel
213,"Cushing, OK WTI Spot Price FOB, Daily",20191226,D,61.72,Dollars per Barrel
214,"Cushing, OK WTI Spot Price FOB, Daily",20191225,D,61.17,Dollars per Barrel
215,"Cushing, OK WTI Spot Price FOB, Daily",20191224,D,61.17,Dollars per Barrel
216,"Cushing, OK WTI Spot Price FOB, Daily",20191223,D,60.51,Dollars per Barrel
217,"Cushing, OK WTI Spot Price FOB, Daily",20191220,D,60.43,Dollars per Barrel
218,"Cushing, OK WTI Spot Price FOB, Daily",20191219,D,61.3,Dollars per Barrel
219,"Cushing, OK WTI Spot Price FOB, Daily",20191218,D,60.93,Dollars per Barrel
220,"Cushing, OK WTI Spot Price FOB, Daily",20191217,D,60.88,Dollars per Barrel
221,"Cushing, OK WTI Spot Price FOB, Daily",20191216,D,60.21,Dollars per Barrel
222,"Cushing, OK WTI Spot Price FOB, Daily",20191213,D,60.11,Dollars per Barrel
223,"Cushing, OK WTI Spot Price FOB, Daily",20191212,D,59.18,Dollars per Barrel
224,"Cushing, OK WTI Spot Price FOB, Daily",20191211,D,58.74,Dollars per Barrel
225,"Cushing, OK WTI Spot Price FOB, Daily",20191210,D,59.22,Dollars per Barrel
226,"Cushing, OK WTI Spot Price FOB, Daily",20191209,D,58.99,Dollars per Barrel
227,"Cushing, OK WTI Spot Price FOB, Daily",20191206,D,59.2,Dollars per Barrel
228,"Cushing, OK WTI Spot Price FOB, Daily",20191205,D,58.42,Dollars per Barrel
229,"Cushing, OK WTI Spot Price FOB, Daily",20191204,D,58.46,Dollars per Barrel
230,"Cushing, OK WTI Spot Price FOB, Daily",20191203,D,56.15,Dollars per Barrel
231,"Cushing, OK WTI Spot Price FOB, Daily",20191202,D,55.97,Dollars per Barrel
232,"Cushing, OK WTI Spot Price FOB, Daily",20191129,D,58.12,Dollars per Barrel
233,"Cushing, OK WTI Spot Price FOB, Daily",20191127,D,58.12,Dollars per Barrel
234,"Cushing, OK WTI Spot Price FOB, Daily",20191126,D,58.25,Dollars per Barrel
235,"Cushing, OK WTI Spot Price FOB, Daily",20191125,D,57.79,Dollars per Barrel
236,"Cushing, OK WTI Spot Price FOB, Daily",20191122,D,57.68,Dollars per Barrel
237,"Cushing, OK WTI Spot Price FOB, Daily",20191121,D,58.36,Dollars per Barrel
238,"Cushing, OK WTI Spot Price FOB, Daily",20191120,D,56.71,Dollars per Barrel
