,Series Name,Period,Frequency,Value,Units
229,"U.S. Ending Stocks of Crude Oil, Weekly",20160603,W,1196948,Thousand Barrels
230,"U.S. Ending Stocks of Crude Oil, Weekly",20160527,W,1199311,Thousand Barrels
231,"U.S. Ending Stocks of Crude Oil, Weekly",20160520,W,1200677,Thousand Barrels
232,"U.S. Ending Stocks of Crude Oil, Weekly",20160513,W,1204904,Thousand Barrels
233,"U.S. Ending Stocks of Crude Oil, Weekly",20160506,W,1203594,Thousand Barrels
234,"U.S. Ending Stocks of Crude Oil, Weekly",20160429,W,1207203,Thousand Barrels
235,"U.S. Ending Stocks of Crude Oil, Weekly",20160422,W,1204422,Thousand Barrels
236,"U.S. Ending Stocks of Crude Oil, Weekly",20160415,W,1202424,Thousand Barrels
237,"U.S. Ending Stocks of Crude Oil, Weekly",20160408,W,1200344,Thousand Barrels
238,"U.S. Ending Stocks of Crude Oil, Weekly",20160401,W,1193710,Thousand Barrels
239,"U.S. Ending Stocks of Crude Oil, Weekly",20160325,W,1198928,Thousand Barrels
240,"U.S. Ending Stocks of Crude Oil, Weekly",20160318,W,1196631,Thousand Barrels
241,"U.S. Ending Stocks of Crude Oil, Weekly",20160311,W,1187274,Thousand Barrels
242,"U.S. Ending Stocks of Crude Oil, Weekly",20160304,W,1185955,Thousand Barrels
243,"U.S. Ending Stocks of Crude Oil, Weekly",20160226,W,1181814,Thousand Barrels
244,"U.S. Ending Stocks of Crude Oil, Weekly",20160219,W,1171440,Thousand Barrels
245,"U.S. Ending Stocks of Crude Oil, Weekly",20160212,W,1167939,Thousand Barrels
246,"U.S. Ending Stocks of Crude Oil, Weekly",20160205,W,1165792,Thousand Barrels
247,"U.S. Ending Stocks of Crude Oil, Weekly",20160129,W,1166461,Thousand Barrels
248,"U.S. Ending Stocks of Crude Oil, Weekly",20160122,W,1158670,Thousand Barrels
249,"U.S. Ending Stocks of Crude Oil, Weekly",20160115,W,1150287,Thousand Barrels
250,"U.S. Ending Stocks of Crude Oil, Weekly",20160108,W,1146309,Thousand Barrels
251,"U.S. Ending Stocks of Crude Oil, Weekly",20160101,W,1146076,Thousand Barrels
252,"U.S. Ending Stocks of Crude Oil, Weekly",20151225,W,1150226,Thousand Barrels
253,"U.S. Ending Stocks of Crude Oil, Weekly",20151218,W,1147600,Thousand Barrels
254,"U.S. Ending Stocks of Crude Oil, Weekly",20151211,W,1153477,Thousand Barrels
255,"U.S. Ending Stocks of Crude Oil, Weekly",20151204,W,1148676,Thousand Barrels
256,"U.S. Ending Stocks of Crude Oil, Weekly",20151127,W,1152337,Thousand Barrels
257,"U.S. Ending Stocks of Crude Oil, Weekly",20151120,W,1151160,Thousand Barrels
258,"U.S. Ending Stocks of Crude Oil, Weekly",20151113,W,1150200,Thousand Barrels
259,"U.S. Ending Stocks of Crude Oil, Weekly",20151106,W,1149948,Thousand Barrels
260,"U.S. Ending Stocks of Crude Oil, Weekly",20151030,W,1145968,Thousand Barrels
261,"U.S. Ending Stocks of Crude Oil, Weekly",20151023,W,1143121,Thousand Barrels
262,"U.S. Ending Stocks of Crude Oil, Weekly",20151016,W,1139745,Thousand Barrels
263,"U.S. Ending Stocks of Crude Oil, Weekly",20151009,W,1131718,Thousand Barrels
264,"U.S. Ending Stocks of Crude Oil, Weekly",20151002,W,1124156,Thousand Barrels
265,"U.S. Ending Stocks of Crude Oil, Weekly",20150925,W,1121116,Thousand Barrels
266,"U.S. Ending Stocks of Crude Oil, Weekly",20150918,W,1117163,Thousand Barrels
267,"U.S. Ending Stocks of Crude Oil, Weekly",20150911,W,1119088,Thousand Barrels
268,"U.S. Ending Stocks of Crude Oil, Weekly",20150904,W,1121192,Thousand Barrels
269,"U.S. Ending Stocks of Crude Oil, Weekly",20150828,W,1118790,Thousand Barrels
270,"U.S. Ending Stocks of Crude Oil, Weekly",20150821,W,1114123,Thousand Barrels
271,"U.S. Ending Stocks of Crude Oil, Weekly",20150814,W,1119575,Thousand Barrels
272,"U.S. Ending Stocks of Crude Oil, Weekly",20150807,W,1116956,Thousand Barrels
273,"U.S. Ending Stocks of Crude Oil, Weekly",20150731,W,1118360,Thousand Barrels
274,"U.S. Ending Stocks of Crude Oil, Weekly",20150724,W,1122767,Thousand Barrels
275,"U.S. Ending Stocks of Crude Oil, Weekly",20150717,W,1126971,Thousand Barrels
276,"U.S. Ending Stocks of Crude Oil, Weekly",20150710,W,1123990,Thousand Barrels
277,"U.S. Ending Stocks of Crude Oil, Weekly",20150703,W,1127937,Thousand Barrels
278,"U.S. Ending Stocks of Crude Oil, Weekly",20150626,W,1126915,Thousand Barrels
279,"U.S. Ending Stocks of Crude Oil, Weekly",20150619,W,1124131,Thousand Barrels
280,"U.S. Ending Stocks of Crude Oil, Weekly",20150612,W,1128715,Thousand Barrels
281,"U.S. Ending Stocks of Crude Oil, Weekly",20150605,W,1130792,Thousand Barrels
282,"U.S. Ending Stocks of Crude Oil, Weekly",20150529,W,1136810,Thousand Barrels
283,"U.S. Ending Stocks of Crude Oil, Weekly",20150522,W,1138259,Thousand Barrels
284,"U.S. Ending Stocks of Crude Oil, Weekly",20150515,W,1140474,Thousand Barrels
285,"U.S. Ending Stocks of Crude Oil, Weekly",20150508,W,1142835,Thousand Barrels
286,"U.S. Ending Stocks of Crude Oil, Weekly",20150501,W,1145027,Thousand Barrels
287,"U.S. Ending Stocks of Crude Oil, Weekly",20150424,W,1149129,Thousand Barrels
288,"U.S. Ending Stocks of Crude Oil, Weekly",20150417,W,1147221,Thousand Barrels
289,"U.S. Ending Stocks of Crude Oil, Weekly",20150410,W,1141906,Thousand Barrels
290,"U.S. Ending Stocks of Crude Oil, Weekly",20150403,W,1140614,Thousand Barrels
